Category,Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian defence,"Indian defence minister AK Antony said on Thursday India would not take up China's ""irrelevant and misplaced"" objections to India' s decision to raise an issue about 'one China policy' during his meeting with the visiting Chinese defence minster.
The minister told reporters that China should understand its place as a “regional power”.
“They are trying to become a global power, but they have to understand their role. We will not get into a discussion with China about the so called one China issue,” he said.",0,190,,0.6634615384615384,6.766006662267349,0.9116602363035454,0.04379687830403728,0.91,0.8760000000000001,0.8205994680213089,85.42857142857143,75.64423076923077,69.33797909407666
Indian defence,"Indian defence minister to visit Pakistan for talks
Pakistan and India agreed to start the talks, aimed at ending decades of hostility between their two nations, at a meeting in Abu Dhabi last month
The defence ministers of India and Pakistan, who have pledged to begin a war dialogue, will meet on Friday to discuss a number of issues.
Shukrani Lal, a foreign ministry spokesperson, confirmed the meeting would take place in Islamabad but declined to give further details of the agenda. The meeting comes after Indian Defence Minister Manohar Parrikar visited Islamabad last week. Mr Parikkar and his Pakistani counterpart Khwaja Asif pledged during a three-way India-Pakistan-UAE meeting on 7 September to work together to improve relations and establish a defence dialogue.",1,198,,0.6267605633802817,7.4687140888405334,0.9057290170865543,0.04380035005972588,0.8959999999999999,0.9088135593220344,0.8214957479278403,73.37707314396789,82.71126760563381,82.10714285714286
Indian defence,"Indian defence minister Arun Jaitley said on Thursday that the country is ""not afraid"" of Pakistan and its army chief, Gen Raheel Sharif, will soon visit India in a bid to improve ties, a media report said.
""We will welcome our neighbour (Pakistan) and we are not afraid of anyone, including the army. The army has a different job to do,"" JITLEY said at a press conference here., 'If you want to talk, talk.' And we will see what the outcome of the talks is,"" he said when asked about the ongoing talks between India and Pakistan at the Wagah border to stop cross-LoC firing.",2,181,,0.5923076923076923,6.753346748664125,0.8924036318730358,0.050898415990925115,0.8879999999999999,0.8667924528301891,0.7831547069892418,65.0,60.93076923076923,50.45494402985075
Indian defence,"Indian defence analyst Major General Gurmeet Kanwal says Pakistan is not a threat to India as far as the conventional war is concerned.
“Pakistan can’t take on India. It can take some tactical steps to harass India, but can never go beyond that, he told IBN 18 in an exclusive interview.",3,191,,0.7796610169491526,5.988689905117898,0.93895922457104,0.03446972137008542,0.8600000000000001,0.8388571428571433,0.8335230243932442,74.97538461538464,62.36363636363637,34.8125
Indian defence,"Indian defence minister Manohar Parrikar on Tuesday announced that “a lot of things are happening” in Pakistan and the neighbouring country is now a ‘real security threat’. He was addressing an event organised by the Observer Research Foundation (ORF) here.
“A lot many things happening in that country – we will not be able to go on with this status quo. I am not saying it openly, but this is a real security challenge,” Parirkar said. He, however, did not elaborate what exactly the ’security challenges’ were. Parikkar also stressed upon the fact that there is no change in the Indo-Pak relationship. ”The Indo Pak relationship is different from what you think,” he added. The minister was speaking at a session on 'India’s New Global Strategy’.
""Pakistan is our next door neighbour. We will continue to have a relationship with Pakistan. But we should realise that Pakistan is not India",4,196,,0.5405405405405406,7.352146220938077,0.8821563778976689,0.05197825141606706,0.8857142857142858,0.865838509316771,0.7930914755157223,64.54720560683408,59.627027027027026,53.153438030560274
Indian defence,"Indian defence minister Manohar Parrikar on Monday said a decision on the issue of ‘one rank one pension’ (OROP) will be taken only after the Supreme Court’s verdict, adding that all other issues will come later.
“As far as OROP for defence pensioners is concerned, it is a Supreme court matter, so we will wait until the SC’ s verdict is out on 28 July,” he added. “But we have a lot of issues to resolve, like the 7th Pay Commission issue.”
He said the government has also taken some steps to provide relief to the armed forces pensioner. The minister also said that government was also working on a proposal that the pension amount could be fixed at 50 per cent of last drawn salary. He also ruled out an automatic hike in pension, saying the decision is with the Defence Ministry.",5,180,,0.562874251497006,7.273938385820887,0.8877100967272615,0.05051922039105756,0.8799999999999999,0.8925874125874127,0.8119091125617107,64.55269080347539,68.1437125748503,62.89526171380329
Indian defence,"Indian defence is a big sector in India. India is one of the largest arms importers in the world, and has a large and growing domestic arms industry. The Indian defence sector has been one area of Indian industry that has attracted the attention of foreign investors in recent years. With a growing economy, a stable political climate, rising incomes and greater economic integration of India to the global economy the Indian market is set to see an upturn in foreign investment in defence related businesses.
According to data published by the Department of Industrial Policy and Promotion (DIPP) of Ministry of Commerce, the defence manufacturing sector is the 4th largest contributor to total manufacturing output in terms of value. It accounted for 1.5 percent of GDP and 0.8 percent exports. According to a joint report from Frost-and-Sullivan and DIPP India’s defence market would be worth Rs. 2, 00,000 Crores over the next ten years
The Indian Government has",6,197,,0.5388888888888889,7.22995312724932,0.8809453091679659,0.05278949242835764,0.8628571428571429,0.8705128205128204,0.7799763303773707,60.483870967741936,65.10555555555555,66.25867269984917
Indian defence,"Indian defence budget 2014 to be higher than $35 bn: AntonyApril 8th, 2009 - 12:56 pm ICT by IANS
New Delhi, April 9(IANS) Defence Minister A.K. Antonia Thursday said the 11th five-year plan will be a watershed in the country’s defence modernisation process and the defence allocation for ‘14 will definitely be more than Rs.35 billion announced for this fiscal year.
“The defence ministry’S defence plan for the current financial year has seen a 50 percent hike to meet the challenges that face us. This is the first time we have done so in a single year and we are very hopeful that with the government’A commitment to defence and its own resolve, our plan can be successfully implemented,” Antoney told parliament.",7,180,,0.6737588652482269,8.00044325013193,0.9202056661618612,0.03712712834549112,0.9279999999999999,0.9022222222222226,0.8442449539152848,95.71240798518014,93.97872340425532,67.47426356589148
Indian defence,"Indian defence minister AK Antony has told an Australian paper that China and Russia have been “unhelpful” in trying to resolve tensions in the South China Sea.
Antony spoke of the need to develop ‘rules to govern behaviour in contested waters’.
The comments come in an exclusive interview with The New Yorker. Anttony says the US has.”
Asked for a prediction about how long the dispute will take to be resolved, Antoni said “…if we don’t do something soon, we are not going to have a South-China Sea”. He added that the issue had been going for 200 years, and the countries had to 'work out the way forward'.
On how to solve the crisis he said:
.”",8,194,,0.5578231292517006,6.763246010507045,0.8830335187653015,0.0539683226629519,0.8480000000000001,0.8513821138211387,0.7758376891418308,48.850662290470055,56.224489795918366,55.004999999999995
Indian defence,"Indian defence ministry’s decision to ban Chinese mobile application, TikTok for security reasons is not a new development. In July this year, the Indian Army had banned use of TikTok.
Now, with India’ military banning of the popular China originated app, it has also made the app’ most popular Indian user base – the military and defence personnel ‘unavailable’ for its users. The app has now become “uninstallable” for them. But this doesn’t come as a surprise for the company, which has been working on making its app as independent as possible for users and countries like these. As of now, all the TikTok users in India can download the latest version, however, they are unable to access it as it needs an Indian mobile number to verify the identity, and since all Indian defence forces use.mil email ids to register, these are not able to log in. However, there is a work around, as reported by NDTV, that can",9,198,,0.526595744680851,7.220317079145781,0.8775271229495748,0.05385416719867494,0.8799999999999999,0.8673170731707314,0.7987044820100982,64.98456752594035,65.45744680851064,57.70856159572973
